V_BS,3.90518,,Delta_BS,-0.315759,,Gamma_BS,0.0228511,,Theta_BS,-2.5235

Binomial Tree,,,,,,,,,,,, Variance Reduction
N,V(N),|V(N)-V_BS|,N*|V(N) - V_BS|,N^2*|V(N) - V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS|,,N,V(N),|V(N)-V_BS|,N*|V(N) - V_BS|,N^2*|V(N) - V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS| 
10,4.03368,0.1285,1.285,12.85,-0.316931,0.00117137,0.0234141,0.000563005,-2.60878,0.0852729,,10,3.90741,0.00222975,0.0222975,0.222975,-0.315658,0.000101236,0.0228137,3.74216e-05,-2.51928,0.00422044
20,3.97404,0.068861,1.37722,27.5444,-0.31593,0.000170203,0.0230895,0.000238372,-2.5608,0.0372968,,20,3.91026,0.00508352,0.10167,2.03341,-0.315856,9.62597e-05,0.0228216,2.95223e-05,-2.51985,0.00365605
40,3.91304,0.00785877,0.314351,12.574,-0.315676,8.35707e-05,0.0230858,0.000234688,-2.55725,0.0337412,,40,3.91079,0.00561002,0.224401,8.97603,-0.315956,0.000196187,0.0228386,1.24935e-05,-2.52178,0.00172931
80,3.90899,0.00380687,0.30455,24.364,-0.315799,3.95408e-05,0.0229677,0.000116584,-2.54021,0.0167017,,80,3.90582,0.000637392,0.0509913,4.07931,-0.315772,1.25464e-05,0.0228476,3.50768e-06,-2.52308,0.000421429
160,3.91222,0.00704057,1.12649,180.239,-0.315774,1.44311e-05,0.022886,3.49038e-05,-2.52882,0.00531116,,160,3.90602,0.000838962,0.134234,21.4774,-0.31577,1.07391e-05,0.0228459,5.2359e-06,-2.52284,0.000668194
320,3.909,0.00381696,1.22143,390.856,-0.315776,1.65464e-05,0.0228668,1.57238e-05,-2.52592,0.00241751,,320,3.90532,0.000143117,0.0457974,14.6552,-0.315755,3.99715e-06,0.0228484,2.67782e-06,-2.52317,0.000337698
640,3.907,0.00181856,1.16388,744.882,-0.315767,7.54058e-06,0.0228588,7.70929e-06,-2.52469,0.00118298,,640,3.90522,4.44073e-05,0.0284206,18.1892,-0.315758,1.66132e-06,0.0228494,1.70112e-06,-2.52328,0.000222788
1280,3.90572,0.000538045,0.688697,881.532,-0.315761,1.1808e-06,0.022856,4.90173e-06,-2.52423,0.000722891,,1280,3.90524,5.77251e-05,0.0738881,94.5768,-0.315761,1.92402e-06,0.0228499,1.26333e-06,-2.52333,0.000174813


Average Binomial Tree,,,,,,,,,,,, Variance Reduction
N,V(N),|V(N)-V_BS|,N*|V(N) - V_BS|,N^2*|V(N) - V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS|,,N,V(N),|V(N)-V_BS|,N*|V(N) - V_BS|,N^2*|V(N) - V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS| 
10,3.94634,0.0411559,0.411559,4.11559,-0.316065,0.000306112,0.0237806,0.000929517,-2.65641,0.132908,,10,3.91821,0.0130312,0.130312,1.30312,-0.316333,0.000573657,0.0228322,1.89086e-05,-2.52085,0.00265639
20,3.93115,0.0259691,0.519382,10.3876,-0.315863,0.000103924,0.0232741,0.000422993,-2.58467,0.0611615,,20,3.90829,0.00311337,0.0622673,1.24535,-0.315847,8.75765e-05,0.0228397,1.14433e-05,-2.52215,0.00135623
40,3.92269,0.0175084,0.700336,28.0134,-0.315811,5.20515e-05,0.0230406,0.0001895,-2.55124,0.0277355,,40,3.90839,0.00321488,0.128595,5.14382,-0.315837,7.73055e-05,0.0228381,1.30335e-05,-2.52185,0.00165755
80,3.91376,0.00857718,0.686174,54.894,-0.315786,2.71352e-05,0.0229457,9.45536e-05,-2.53735,0.0138413,,80,3.90638,0.00120373,0.0962984,7.70387,-0.315781,2.15194e-05,0.0228449,6.23983e-06,-2.52272,0.000781166
160,3.90968,0.00450144,0.72023,115.237,-0.315774,1.48784e-05,0.0228969,4.58069e-05,-2.53023,0.00672357,,160,3.90582,0.000635704,0.101713,16.274,-0.31577,1.10402e-05,0.0228473,3.82274e-06,-2.52302,0.000488051
320,3.90702,0.00184489,0.590366,188.917,-0.315765,5.19159e-06,0.0228752,2.41127e-05,-2.52702,0.00351427,,320,3.9056,0.000421835,0.134987,43.1959,-0.315769,9.41133e-06,0.0228486,2.54756e-06,-2.52317,0.00033758
640,3.90613,0.000947705,0.606531,388.18,-0.315762,2.75676e-06,0.0228625,1.14188e-05,-2.52517,0.00166789,,640,3.90535,0.000168213,0.107656,68.9001,-0.315763,4.15448e-06,0.0228495,1.65473e-06,-2.52328,0.00022406
1280,3.90572,0.000544637,0.697136,892.333,-0.315761,1.75778e-06,0.022856,4.8779e-06,-2.52422,0.000719322,,1280,3.90521,3.13086e-05,0.040075,51.296,-0.315761,1.26221e-06,0.0228499,1.19696e-06,-2.52334,0.000165475


Binomial Black Scholes,,,,,,,,,,,, Variance Reduction
N,V(N),|V(N)-V_BS|,N*|V(N) - V_BS|,N^2*|V(N) - V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS|,,N,V(N),|V(N)-V_BS|,N*|V(N) - V_BS|,N^2*|V(N) - V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS| 
10,3.94207,0.0368942,0.368942,3.68942,-0.315165,0.000594082,0.0238592,0.00100809,-2.66786,0.144352,,10,3.8158,0.0893765,0.893765,8.93765,-0.313893,0.00186669,0.0232588,0.00040766,-2.57836,0.0548591
20,3.92513,0.0199485,0.39897,7.9794,-0.315636,0.000123215,0.0233156,0.00046444,-2.59036,0.0668566,,20,3.86135,0.0438289,0.876579,17.5316,-0.315562,0.000197158,0.0230477,0.000196545,-2.54941,0.0259037
40,3.91616,0.0109793,0.439172,17.5669,-0.315742,1.76764e-05,0.0230728,0.000221696,-2.55551,0.0320044,,40,3.91391,0.00873055,0.349222,13.9689,-0.316021,0.000262082,0.0228256,2.54857e-05,-2.52004,0.00346611
80,3.91109,0.00591234,0.472987,37.839,-0.315755,4.54181e-06,0.0229579,0.000106763,-2.53896,0.0154597,,80,3.90792,0.00274286,0.219429,17.5543,-0.315728,3.15362e-05,0.0228378,1.33286e-05,-2.52184,0.00166347
160,3.90815,0.00297277,0.475643,76.1029,-0.315763,3.33166e-06,0.0229037,5.25794e-05,-2.53112,0.00761364,,160,3.90195,0.00322884,0.516615,82.6583,-0.315759,3.60322e-07,0.0228636,1.24397e-05,-2.52514,0.00163429
320,3.9067,0.00151772,0.485669,155.414,-0.315762,2.35041e-06,0.0228767,2.55561e-05,-2.52721,0.00370436,,320,3.90302,0.00215612,0.689959,220.787,-0.315741,1.81932e-05,0.0228583,7.1545e-06,-2.52445,0.000949151
640,3.90593,0.000745681,0.477236,305.431,-0.315761,1.542e-06,0.0228634,1.22946e-05,-2.52529,0.00178263,,640,3.90415,0.00102847,0.658221,421.262,-0.315752,7.6599e-06,0.022854,2.88416e-06,-2.52388,0.000376865
1280,3.90553,0.000346342,0.443317,567.446,-0.31576,8.58772e-07,0.0228569,5.73081e-06,-2.52434,0.000830737,,1280,3.90505,0.000133978,0.171492,219.509,-0.315761,1.602e-06,0.0228507,4.34259e-07,-2.52344,6.69658e-05


Binomial Black-Scholes with Richardson Extrapolation,,,,,,,,,,,, Variance Reduction
N,V(N),|V(N)-V_BS|,N*|V(N) - V_BS|,N^2*|V(N) - V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS|,,N,V(N),|V(N)-V_BS|,N*|V(N) - V_BS|,N^2*|V(N) - V_BS|,Delta_1,|Delta_1-Delta_BS|,Gamma_1,|Gamma_1-Gamma_BS|,Theta_1,|Theta_1-Theta_BS| 
10,3.91951,0.0143259,0.143259,1.43259,-0.315818,5.81777e-05,0.0223769,0.00047426,-2.46163,0.0618752,,10,3.7591,0.146077,1.46077,14.6077,-0.308619,0.00713996,0.0230431,0.000191963,-2.55542,0.0319102
20,3.90818,0.00300274,0.0600549,1.2011,-0.316107,0.000347653,0.0227719,7.92058e-05,-2.51287,0.0106392,,20,3.9069,0.00171857,0.0343715,0.68743,-0.317232,0.00147237,0.0228366,1.45689e-05,-2.52045,0.0030516
40,3.90719,0.00201009,0.0804035,3.21614,-0.315847,8.78619e-05,0.0228301,2.10474e-05,-2.52066,0.00284783,,40,3.96647,0.06129,2.4516,98.0641,-0.316481,0.000721321,0.0226036,0.000247517,-2.49067,0.032836
80,3.90603,0.000845383,0.0676306,5.41045,-0.315768,8.59276e-06,0.0228429,8.17048e-06,-2.52242,0.00108505,,80,3.90193,0.00324483,0.259586,20.7669,-0.315434,0.000325154,0.0228499,1.17148e-06,-2.52364,0.000139165
160,3.90521,3.32025e-05,0.0053124,0.849985,-0.315771,1.12051e-05,0.0228495,1.6041e-06,-2.52327,0.000232388,,160,3.89598,0.00920054,1.47209,235.534,-0.31579,3.08155e-05,0.0228893,3.8208e-05,-2.52844,0.00493206
320,3.90524,6.26618e-05,0.0200518,6.41657,-0.315761,1.36917e-06,0.0228497,1.46713e-06,-2.5233,0.000204932,,320,3.9041,0.0010834,0.346689,110.94,-0.315723,3.6026e-05,0.022853,1.86928e-06,-2.52377,0.000264008
640,3.90515,2.63536e-05,0.0168663,10.7944,-0.31576,7.33588e-07,0.0228502,9.66999e-07,-2.52337,0.000139101,,640,3.90528,9.91805e-05,0.0634755,40.6243,-0.315762,2.87335e-06,0.0228497,1.38618e-06,-2.52331,0.000195421
1280,3.90513,5.29979e-05,0.0678373,86.8317,-0.31576,1.75543e-07,0.0228503,8.32954e-07,-2.52338,0.000121153,,1280,3.90594,0.000760515,0.973459,1246.03,-0.31577,1.08639e-05,0.0228474,3.75268e-06,-2.52299,0.000510796
